                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1421,                0.35249,                0.36662,                0.77397,                 1.2214,                0.96743,                      1,                0.99413,                0.64167,                0.96743,                      1,                0.99413,                0.98436,                 1.1625,                0.20312,                 0.1159,                0.71725,                 1.3971,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2009,                0.25581,                0.35868,                0.73916,                 1.2321,                0.94089,                0.97778,                0.97666,                0.63284,                0.96266,                      1,                0.99413,                0.98049,                 1.1347,                0.18969,                0.10909,                0.68251,                 1.3889,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0855,                0.22588,                0.32372,                0.70465,                 1.1562,                0.95055,                0.97778,                0.96915,                0.62207,                0.97215,                      1,                0.99413,                0.97951,                 1.1626,                0.18932,                0.11011,                0.63057,                 1.4198,                0.00101,                0.00101,                0.00101
                     53,                 1.1218,                0.23223,                0.33821,                0.74753,                 1.1872,                0.95321,                0.97778,                0.96771,                0.62386,                0.97488,                      1,                0.99413,                0.98589,                 1.1428,                 0.1719,                  0.105,                0.61588,                 1.4084,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1451,                0.24357,                0.32995,                0.73535,                 1.2011,                0.93271,                0.95556,                0.95932,                0.62168,                0.97651,                      1,                  0.995,                0.98717,                 1.1382,                0.14104,                0.09668,                0.60856,                 1.3874,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1163,                0.21698,                0.35618,                0.72766,                 1.2084,                0.93301,                0.95556,                0.95011,                0.61786,                0.97662,                      1,                  0.995,                0.99071,                 1.1482,                0.12184,                0.10003,                0.60681,                   1.39,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0899,                0.21173,                 0.3534,                0.72818,                 1.1719,                0.94712,                0.95556,                0.94935,                0.61785,                0.99145,                      1,                  0.995,                0.99216,                 1.2027,                0.12425,                0.12224,                0.63687,                 1.4252,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0531,                0.20121,                0.35178,                0.70221,                 1.1627,                0.92832,                0.95556,                0.95801,                0.62345,                0.97168,                      1,                 0.9937,                 0.9937,                 1.1658,                0.11503,                0.13246,                0.64259,                 1.3806,               0.000911,               0.000911,               0.000911
                     58,                 1.1177,                0.24995,                0.33403,                0.73028,                 1.2025,                0.90317,                0.95556,                 0.9455,                0.62092,                0.94645,                      1,                0.99282,                0.99273,                 1.1988,                0.11862,                0.12253,                0.62954,                 1.3812,              0.0008912,              0.0008912,              0.0008912
                     59,                  1.096,                0.24245,                0.31778,                 0.7086,                 1.1934,                0.92464,                0.86667,                0.93702,                0.62662,                0.91932,                0.97778,                0.99076,                0.98861,                 1.2147,                0.12336,                0.11212,                0.65334,                 1.3611,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0633,                0.23933,                0.34509,                0.73275,                 1.2006,                0.91279,                0.93039,                0.91949,                0.60698,                0.97558,                      1,                0.99326,                0.99122,                 1.2043,                 0.1339,                0.11215,                 0.6417,                  1.343,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1586,                0.23417,                0.35737,                0.74771,                 1.1929,                0.93188,                0.91202,                0.93179,                0.60485,                0.93626,                0.97934,                0.99242,                0.99234,                 1.1936,                0.12203,                0.10945,                0.61314,                 1.3525,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0486,                0.23352,                0.31738,                0.68403,                 1.1633,                0.94435,                0.93333,                0.93467,                0.58861,                0.99052,                0.97778,                0.99375,                0.99375,                 1.2075,                0.12576,                0.09037,                0.61011,                 1.4172,               0.000812,               0.000812,               0.000812
                     63,                 1.0851,                0.22897,                0.32475,                0.71398,                  1.197,                0.94807,                0.95556,                 0.9401,                0.58508,                0.99216,                      1,                  0.995,                0.98854,                 1.2187,                0.13281,                0.08011,                0.60599,                 1.4468,              0.0007922,              0.0007922,              0.0007922
